uuid,name,price_to_book,peg,pe,country,sector,ebitda_margin,gross_margin,operating_margin,year_pct_change,net_debt,revenue,ebitda,growth_level,growth_trend,ebitda_level,ebitda_trend,capex,total_asset
1ca0d4f2-0178-4f2d-960f-82517e676b26,USA Compression Partners LP,-34.036076,,30.806122,United States,Energy,0.59095,0.66723,0.2743,0.22400987,2531648992.0,1084140032.0,640668992.0,0.05013419973086397,-0.7504982563782506,0.08997728902718194,-0.5131514256761591,117277000.0,2665895500.0
291d9fcb-32d4-4c78-8eb0-1f5dff5ace82,Eagle Bancorp Inc (MD),0.6733221,1.71,,United States,Financial Services,0.0,0.0,0.35599,0.3120643,-463624992.0,21372000.0,,-0.011070808313199731,-1.2765626035316917,1.451090353131843,-0.4147629373727876,8182000.0,10467079250.0
35584d88-39b0-4fd9-8066-10fd4d430b77,Enerpac Tool Group Corp - Class A,4.283546,0.34,21.301886,United States,Industrials,0.24159999,0.49383998,0.18283,-0.25782973,88532008.0,625190016.0,151047008.0,0.0464606198368136,0.3499020525443408,0.017656825780029584,1.1184709449651602,13557000.0,817381750.0
4ed38991-a4ac-4981-8479-ac1dbcc2fa60,Microstrategy Inc - Class A,1.5727082,2.85,,United States,Technology,0.0,0.68114,-116.41528,-0.57084805,6050166016.0,490467008.0,-13990264832.0,0.029726662293723782,-20.810020218858273,-0.004781604229948888,0.8129579878929368,22093973000.0,63575571250.0
2285af06-848b-4974-adba-558b98399c8d,Arcos Dorados Holdings Inc - Class A,2.26962,0.54,8.217822,Uruguay,Consumer Cyclical,0.122,0.12272,0.09373,0.059973955,1823077120.0,4678259200.0,570764992.0,0.046552451566632236,-0.7637104754165799,,,281350000.0,3572862250.0
2c8718d1-e2f0-4061-b95d-54584dcc6c8b,AAR Corp,2.477502,2.4,22.810987,United States,Industrials,0.10917,0.18997999,0.0762,0.66084194,901199968.0,3134500096.0,342200000.0,0.1990598990900858,1.6269121903676398,0.1733326060273236,1.2941368249355418,59100000.0,3087325000.0
a34333f6-70e7-44d8-b4ea-74fa4e8ca0b0,Shutterstock Inc,1.0217683,,,United States,Communication Services,0.15439999,0.57659,-0.014830001,-0.106060624,137490992.0,946475008.0,146136992.0,0.05844672401957962,-4.170432086746265,0.056946558726066354,-0.20562173512217902,49443000.0,1354796000.0
dec07bc5-948c-4a45-a6f0-45e1d2ffe06d,Brinker International Inc,13.980347,0.89,12.895711,United States,Consumer Cyclical,0.14206,0.18594,0.11413,-0.079369366,1690900000.0,5733499904.0,814499968.0,0.06820381302622658,-0.6341902771470913,0.14472684178464612,1.7194537146136908,253400000.0,2728025000.0
8700475c-c8f2-4e4a-8177-ba1ca611ad91,BP Midstream Partners LP,,,,,,,,,,,,,,,,,,
70e0ce8d-4e0e-4eb2-8a5a-8abf206a7fbb,Myriad Genetics Inc,1.0212648,1.24,,United States,Healthcare,-0.2009,0.68060994,-0.2141,-0.19187361,-150700000.0,557000000.0,-111900000.0,0.02297090352220521,-0.7916649605686631,0.035795868034790845,-1.2727235055499069,25600000.0,696425000.0
f43a23b8-8c27-41e8-983a-bdbd59b1e5a0,Amerisafe Inc,2.382324,1.81,12.934156,United States,Financial Services,0.18010001,0.28035998,0.12684,-0.36520118,-62979000.0,324780000.0,58493000.0,0.02648256763795298,1.4864668343088179,,,2172000.0,1143390250.0
b3ad9b29-9dd6-4573-803e-f362286acade,ODP Corporation (The),,,,,,,,,,,,,,,,,,
